"";"GeoIso";"Citizen";"Decision";"Count";"latitude";"longitude";"name"
"78";"LV";"TOTAL";"SUB_PROT";40;56,879635;24,603189;"Latvia"
"79";"LT";"TOTAL";"SUB_PROT";5;55,169438;23,881275;"Lithuania"
"80";"LU";"TOTAL";"SUB_PROT";10;49,815273;6,129583;"Luxembourg"
"81";"HU";"TOTAL";"SUB_PROT";40;47,162494;19,503304;"Hungary"
"82";"MT";"TOTAL";"SUB_PROT";130;35,937496;14,375416;"Malta"
"83";"NL";"TOTAL";"SUB_PROT";1295;52,132633;5,291266;"Netherlands"
"84";"AT";"TOTAL";"SUB_PROT";2135;47,516231;14,550072;"Austria"
"85";"PL";"TOTAL";"SUB_PROT";35;51,919438;19,145136;"Poland"
"86";"PT";"TOTAL";"SUB_PROT";30;39,399872;-8,224454;"Portugal"
"87";"RO";"TOTAL";"SUB_PROT";85;45,943161;24,96676;"Romania"
"88";"SI";"TOTAL";"SUB_PROT";10;46,151241;14,995463;"Slovenia"
"89";"SK";"TOTAL";"SUB_PROT";5;48,669026;19,699024;"Slovakia"
"90";"FI";"TOTAL";"SUB_PROT";625;61,92411;25,748151;"Finland"
"91";"SE";"TOTAL";"SUB_PROT";21780;60,128161;18,643501;"Sweden"
"92";"UK";"TOTAL";"SUB_PROT";45;55,378051;-3,435973;"United Kingdom"
"93";"IS";"TOTAL";"SUB_PROT";15;64,963051;-19,020835;"Iceland"
"94";"LI";"TOTAL";"SUB_PROT";5;47,166;9,555373;"Liechtenstein"
"95";"NO";"TOTAL";"SUB_PROT";80;60,472024;8,468946;"Norway"
"96";"CH";"TOTAL";"SUB_PROT";250;46,818188;8,227512;"Switzerland"
"97";"BE";"TOTAL";"HUMSTAT";NA;50,503887;4,469936;"Belgium"
"98";"BG";"TOTAL";"HUMSTAT";NA;42,733883;25,48583;"Bulgaria"
"99";"CZ";"TOTAL";"HUMSTAT";0;49,817492;15,472962;"Czech Republic"
"100";"DK";"TOTAL";"HUMSTAT";10;56,26392;9,501785;"Denmark"
"101";"DE";"TOTAL";"HUMSTAT";16935;51,165691;10,451526;"Germany"
"102";"EE";"TOTAL";"HUMSTAT";0;58,595272;25,013607;"Estonia"
"103";"IE";"TOTAL";"HUMSTAT";NA;53,41291;-8,24389;"Ireland"
"104";"EL";"TOTAL";"HUMSTAT";0;39,074208;21,824312;"Greece"
"105";"ES";"TOTAL";"HUMSTAT";0;40,463667;-3,74922;"Spain"
"106";"FR";"TOTAL";"HUMSTAT";NA;46,227638;2,213749;"France"
"107";"HR";"TOTAL";"HUMSTAT";0;45,1;15,2;"Croatia"
"108";"IT";"TOTAL";"HUMSTAT";5610;41,87194;12,56738;"Italy"
"109";"CY";"TOTAL";"HUMSTAT";0;35,126413;33,429859;"Cyprus"
"110";"LV";"TOTAL";"HUMSTAT";NA;56,879635;24,603189;"Latvia"
